"whale.id","matriline","year","sex","birth.year","death.year","mean.ep","n.ep","SD","area","age","pregnancy","pregnancy.simple","status","num.offspring","num.births","num.sons","num.daughters","has.son","has.adultson","age.sex.class.full","age.sex.class","salmon","mother.status"
"W16","M7",2014,"m",2013,NA,1.110944125,1,NA,"J strait",1,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.706666667,NA
"W17","M7",2014,"f",1989,NA,1.145410878,2,0.02842977,"J strait",25,"Nursing 2","Nursing","alive",3,5,1,2,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W18","M7",2014,"f",2006,NA,1.183800399,2,0.007960036,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.706666667,NA
"W19","M8",2014,"m",1987,NA,1.20813928,1,NA,"J strait",27,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,NA
"W20","M9",2014,"f",1972,NA,1.190044741,1,NA,"J strait",42,"Not pregnant","Not pregnant","alive",4,6,0,3,"no","no","female post reproductive","post reproductive female",1.706666667,NA
"W21","M9",2014,"f",1985,NA,1.165948034,3,0.019130182,"J strait",29,"Nursing 2","Nursing","alive",3,4,2,0,"yes","yes","female reproductive","reproductive female",1.706666667,NA
"W22","M9",2014,"f",1998,NA,1.152522576,1,NA,"J strait",16,"Pregnant","Pregnant","alive",1,1,0,0,"no","no","female reproductive","reproductive female",1.706666667,NA
"W23","M9",2014,"m",2000,2018,1.161946353,2,0.00394956,"J strait",14,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.706666667,"alive"
"W24","M9",2014,"m",2007,NA,1.086176925,1,NA,"J strait",7,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W25","M9",2014,"u",2009,NA,1.124812577,4,0.008745264,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.706666667,NA
"W26","M9",2014,"u",2009,NA,1.108782363,1,NA,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.706666667,NA
"W27","M9",2014,"u",2014,NA,1.131135517,2,0.020226966,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.706666667,NA
"W28","M10",2014,"f",1990,NA,1.210014542,2,0.004952199,"J strait",24,"Pregnant","Pregnant","alive",2,2,1,0,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W29","M10",2014,"m",2005,NA,1.098639494,2,0.013091228,"J strait",9,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W30","M11",2014,"f",1984,NA,1.108841563,5,0.009179311,"J strait",30,"Nursing 3","Not pregnant","alive",3,3,0,2,"no","no","female reproductive","reproductive female",1.706666667,NA
"W31","M11",2014,"f",1998,NA,1.154906956,4,0.014059925,"J strait",16,"Pregnant","Pregnant","alive",0,0,0,0,"no","no","female reproductive","reproductive female",1.706666667,NA
"W32","M11",2014,"f",2005,NA,1.142613349,2,0.001535905,"J strait",9,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.706666667,NA
"W33","M11",2014,"u",2012,NA,1.066431511,3,0.023317192,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.706666667,NA
"W34","M12",2014,"f",1972,NA,1.162959881,1,NA,"J strait",42,"Not pregnant","Not pregnant","alive",0,1,0,0,"no","no","female post reproductive","post reproductive female",1.706666667,NA
"W35","M13",2014,"m",1985,2019,1.228150646,1,NA,"J strait",29,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,"alive"
"W36","M13",2014,"m",1997,2020,1.104224238,3,0.028126343,"J strait",17,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.706666667,"alive"
"W37","M14",2014,"m",2004,NA,1.076168342,1,NA,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W38","M14",2014,"m",2009,NA,1.080429757,1,NA,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,"alive"
"W39","M14",2014,"f",2014,NA,1.163373901,1,NA,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.706666667,NA
"W40","M14",2014,"f",1969,2019,1.172984067,4,0.008280701,"J strait",45,"Pregnant - early stages","Not pregnant","alive",3,7,2,1,"yes","yes","female post reproductive","post reproductive female",1.706666667,"dead"
"W41","M14",2014,"f",1986,NA,1.124345031,6,0.01046589,"J strait",28,"Nursing 1","Nursing","alive",3,3,1,2,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W42","M14",2014,"m",2002,NA,1.107219622,5,0.009571339,"J strait",12,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.706666667,NA
"W43","M15",2014,"m",2004,NA,1.115337903,3,0.035919606,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W44","M15",2014,"f",1974,NA,1.199787546,3,0.006935816,"J strait",40,"Pregnant - early stages","Not pregnant","alive",2,3,2,0,"yes","yes","female post reproductive","post reproductive female",1.706666667,NA
"W45","M15",2014,"f",1990,2014,0.999016438,3,0.010865513,"J strait",24,"Nursing 1","Nursing","dead",0,1,0,0,"no","no","female reproductive","reproductive female",1.706666667,"alive"
"W46","M15",2014,"m",1997,NA,1.208716296,4,0.021897577,"J strait",17,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.706666667,NA
"W47","M16",2014,"f",2002,NA,1.087391191,2,0.005660842,"J strait",12,"Nursing 1","Nursing","alive",1,1,0,1,"no","no","female reproductive","reproductive female",1.706666667,NA
"W48","M16",2014,"u",2012,NA,1.106879939,1,NA,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.706666667,NA
"W49","M16",2014,"f",2014,NA,1.118811379,2,0.003931929,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.706666667,NA
"W50","M17",2014,"f",2003,NA,1.155486179,5,0.017081018,"J strait",11,"Not pregnant","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.706666667,NA
"W51","M17",2014,"f",1980,NA,1.193527604,3,0.01437224,"J strait",34,"Not pregnant","Not pregnant","alive",2,2,1,1,"yes","yes","female reproductive","reproductive female",1.706666667,NA
"W52","M17",2014,"m",1997,NA,1.18547974,3,0.027506475,"J strait",17,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.706666667,NA
"W53","M18",2014,"u",2003,2015,1.112519997,5,0.008653302,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.706666667,"alive"
"W54","M18",2014,"m",2007,NA,1.159038422,9,0.012637058,"J strait",7,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W55","M18",2014,"u",2014,NA,1.141235214,7,0.016124874,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.706666667,NA
"W56","M18",2014,"f",1990,NA,1.171216743,7,0.005322166,"J strait",24,"Nursing 1","Nursing","alive",3,3,1,0,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W1","M1",2015,"f",1981,NA,1.246927289,6,0.01021615,"J strait",34,"Not pregnant","Not pregnant","alive",1,2,0,1,"no","no","female reproductive","reproductive female",1.563333333,NA
"W2","M1",2015,"m",1992,NA,1.21434177,3,0.001151159,"J strait",23,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,NA
"W4","M1",2015,"m",2009,NA,1.082174864,4,0.012402661,"J strait",6,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W5","M2",2015,"m",1994,NA,1.239356379,5,0.021743791,"J strait",21,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,NA
"W6","M3",2015,"m",1971,2017,1.129012261,2,0.030151619,"J strait",44,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,"dead"
"W57","M19",2015,"m",1990,NA,1.218869876,3,0.01016203,"J strait",25,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,NA
"W58","M19",2015,"f",1994,NA,1.170539519,2,0.008492884,"J strait",21,"Nursing 3","Not pregnant","alive",3,3,3,0,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W59","M19",2015,"f",1997,NA,1.168932153,1,NA,"J strait",18,"Pregnant","Pregnant","alive",1,2,1,0,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W60","M19",2015,"m",2004,NA,1.130721735,2,0.018961015,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W61","M19",2015,"m",2005,NA,1.102294111,3,0.021346317,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W62","M20",2015,"m",2004,NA,1.115876173,1,NA,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W8","M5",2015,"f",2013,NA,1.106476549,1,NA,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.563333333,NA
"W63","M6",2015,"f",1984,NA,1.136093454,5,0.015165083,"J strait",31,"Pregnant - early stages","Not pregnant","alive",3,3,2,1,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W13","M6",2015,"f",1999,NA,1.099114166,4,0.014603232,"J strait",16,"Nursing 2","Nursing","alive",1,1,1,0,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W14","M6",2015,"m",2005,NA,1.144240497,1,NA,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W15","M6",2015,"m",2011,NA,1.127215278,1,NA,"J strait",4,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W64","M7",2015,"f",2002,NA,1.182646388,1,NA,"J strait",13,"Pregnant","Pregnant","alive",1,1,0,1,"no","no","female reproductive","reproductive female",1.563333333,NA
"W18","M7",2015,"f",2006,NA,1.152786683,3,0.011633906,"J strait",9,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.563333333,NA
"W21","M9",2015,"f",1985,NA,1.206228439,1,NA,"J strait",30,"Nursing 3","Not pregnant","alive",3,4,2,0,"yes","yes","female reproductive","reproductive female",1.563333333,NA
"W22","M9",2015,"f",1998,NA,1.146797782,2,0.00511292,"J strait",17,"Nursing 1","Nursing","alive",2,2,0,0,"no","no","female reproductive","reproductive female",1.563333333,NA
"W65","M21",2015,"f",2003,NA,1.203135951,2,0.007423468,"J strait",12,"Not pregnant","Not pregnant","alive",0,0,0,0,"no","no","female reproductive","reproductive female",1.563333333,NA
"W66","M22",2015,"f",1987,2019,1.264327012,3,0.012669543,"J strait",28,"Pregnant","Pregnant","alive",1,2,1,0,"yes","no","female reproductive","reproductive female",1.563333333,"alive"
"W67","M22",2015,"m",2012,NA,1.087585141,1,NA,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.563333333,NA
"W37","M14",2015,"m",2004,NA,1.100025852,4,0.024859777,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W68","M14",2015,"f",2009,NA,1.101978979,1,NA,"J strait",6,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.563333333,"alive"
"W39","M14",2015,"f",2014,NA,1.138589859,1,NA,"J strait",1,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.563333333,NA
"W40","M14",2015,"f",1969,2019,1.182952455,4,0.005249241,"J strait",46,"Pregnant","Pregnant","alive",3,7,2,1,"yes","yes","female post reproductive","post reproductive female",1.563333333,"dead"
"W41","M14",2015,"f",1986,NA,1.116255928,5,0.011440589,"J strait",29,"Nursing 2","Nursing","alive",3,3,1,2,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W42","M14",2015,"m",2002,NA,1.125568069,2,0.015418606,"J strait",13,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.563333333,NA
"W43","M15",2015,"m",2004,NA,1.125089153,5,0.013702892,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W44","M15",2015,"f",1974,NA,1.198348762,3,0.004227392,"J strait",41,"Pregnant","Pregnant","alive",2,3,2,0,"yes","yes","female post reproductive","post reproductive female",1.563333333,NA
"W46","M15",2015,"m",1997,NA,1.207008655,3,0.005546963,"J strait",18,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,NA
"W50","M17",2015,"f",2003,NA,1.159797556,4,0.009222284,"J strait",12,"Not pregnant","Not pregnant","alive",0,0,0,0,"no","no","female reproductive","reproductive female",1.563333333,NA
"W51","M17",2015,"f",1980,NA,1.186601671,6,0.015776883,"J strait",35,"Not pregnant","Not pregnant","alive",2,2,1,1,"yes","yes","female reproductive","reproductive female",1.563333333,NA
"W52","M17",2015,"m",1997,NA,1.184309803,3,0.014434398,"J strait",18,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.563333333,NA
"W54","M18",2015,"m",2007,NA,1.165420934,1,NA,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.563333333,NA
"W55","M18",2015,"u",2014,NA,1.105064543,1,NA,"J strait",1,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.563333333,NA
"W56","M18",2015,"f",1990,NA,1.152405957,4,0.004142239,"J strait",25,"Nursing 2","Nursing","alive",2,3,1,0,"yes","no","female reproductive","reproductive female",1.563333333,NA
"W8","M5",2016,"f",2013,NA,1.10652126,4,0.01949791,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.246666667,NA
"W9","M5",2016,"f",1980,NA,1.224876578,3,0.008979794,"J strait",36,"Pregnant","Pregnant","alive",4,5,1,3,"yes","yes","female reproductive","reproductive female",1.246666667,NA
"W10","M5",2016,"m",1996,2023,1.220210076,6,0.009499647,"J strait",20,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.246666667,NA
"W11","M5",2016,"f",2004,NA,1.179564945,10,0.014601185,"J strait",12,"Pregnant - early stages","Not pregnant","alive",0,0,0,0,"no","no","female reproductive","reproductive female",1.246666667,NA
"W69","M5",2016,"f",2008,NA,1.154352773,3,0.005998821,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.246666667,"alive"
"W12","M6",2016,"m",2014,NA,1.111881738,4,0.020229557,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.246666667,NA
"W63","M6",2016,"f",1984,NA,1.167026886,11,0.009421719,"J strait",32,"Pregnant","Pregnant","alive",3,3,2,1,"yes","no","female reproductive","reproductive female",1.246666667,NA
"W13","M6",2016,"f",1999,NA,1.107104656,3,0.010564149,"J strait",17,"Nursing 3","Not pregnant","alive",1,1,1,0,"yes","no","female reproductive","reproductive female",1.246666667,NA
"W14","M6",2016,"m",2005,NA,1.150970427,5,0.012426437,"J strait",11,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.246666667,NA
"W15","M6",2016,"m",2011,NA,1.146912221,6,0.011304082,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.246666667,NA
"W70","M7",2016,"f",2012,NA,1.11964487,1,NA,"J strait",4,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.246666667,NA
"W16","M7",2016,"m",2013,NA,1.114705684,3,0.013238532,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.246666667,NA
"W17","M7",2016,"f",1989,NA,1.172957643,4,0.021162392,"J strait",27,"Pregnant - early stages","Not pregnant","alive",3,5,1,2,"yes","no","female reproductive","reproductive female",1.246666667,NA
"W64","M7",2016,"f",2002,NA,1.15544858,3,0.00676704,"J strait",14,"Nursing 1","Nursing","alive",2,2,0,2,"no","no","female reproductive","reproductive female",1.246666667,NA
"W18","M7",2016,"f",2006,NA,1.192577182,5,0.003459026,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.246666667,NA
"W37","M14",2016,"m",2004,NA,1.120620213,3,0.01152829,"J strait",12,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.246666667,NA
"W68","M14",2016,"f",2009,NA,1.130522382,2,0.020622651,"J strait",7,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.246666667,"alive"
"W39","M14",2016,"f",2014,NA,1.147246846,1,NA,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.246666667,NA
"W40","M14",2016,"f",1969,2019,1.142173289,8,0.019359904,"J strait",47,"Nursing 1","Nursing","alive",4,8,2,1,"yes","yes","female post reproductive","post reproductive female",1.246666667,"dead"
"W41","M14",2016,"f",1986,NA,1.14809303,3,0.005994046,"J strait",30,"Nursing 3","Not pregnant","alive",3,3,1,2,"yes","yes","female reproductive","reproductive female",1.246666667,NA
"W42","M14",2016,"m",2002,NA,1.123937818,4,0.012179007,"J strait",14,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.246666667,NA
"W44","M15",2016,"f",1974,NA,1.163530325,3,0.013720791,"J strait",42,"Nursing 1","Nursing","alive",3,4,2,0,"yes","yes","female post reproductive","post reproductive female",1.246666667,NA
"W46","M15",2016,"m",1997,NA,1.224189223,3,0.007989477,"J strait",19,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.246666667,NA
"W51","M17",2016,"f",1980,NA,1.201210295,6,0.012765668,"J strait",36,"Not pregnant","Not pregnant","alive",2,2,1,1,"yes","yes","female reproductive","reproductive female",1.246666667,NA
"W52","M17",2016,"m",1997,NA,1.208679068,1,NA,"J strait",19,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.246666667,NA
"W54","M18",2016,"m",2007,NA,1.17361597,4,0.00584878,"J strait",9,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.246666667,NA
"W55","M18",2016,"u",2014,NA,1.121738165,4,0.014906516,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.246666667,NA
"W56","M18",2016,"f",1990,NA,1.186219727,5,0.011007619,"J strait",26,"Nursing 3","Not pregnant","alive",2,3,1,0,"yes","no","female reproductive","reproductive female",1.246666667,NA
"W71","M1",2017,"f",2014,NA,1.195493684,4,0.002460009,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.03,NA
"W1","M1",2017,"f",1981,NA,1.257709161,9,0.010581191,"J strait",36,"Not pregnant","Not pregnant","alive",1,2,0,1,"no","no","female reproductive","reproductive female",1.03,NA
"W2","M1",2017,"m",1992,NA,1.226775522,6,0.010566382,"J strait",25,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.03,NA
"W3","M1",2017,"f",1997,NA,1.167868617,11,0.015666147,"J strait",20,"Not pregnant","Not pregnant","alive",2,2,1,1,"yes","no","female reproductive","reproductive female",1.03,NA
"W4","M1",2017,"m",2009,NA,1.116870076,10,0.021949477,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.03,NA
"W5","M2",2017,"m",1994,NA,1.24664488,4,0.020486586,"J strait",23,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.03,NA
"W72","M2",2017,"f",2005,NA,1.150228229,5,0.007900749,"J strait",12,"Not pregnant","Not pregnant","alive",0,0,0,0,"no","no","female reproductive","reproductive female",1.03,NA
"W12","M6",2017,"m",2014,NA,1.108124517,6,0.007907864,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.03,NA
"W73","M6",2017,"f",2017,2018,1.178549124,10,0.01354301,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.03,"alive"
"W63","M6",2017,"f",1984,NA,1.148874795,22,0.008916782,"J strait",33,"Nursing 1","Nursing","alive",4,4,2,2,"yes","yes","female reproductive","reproductive female",1.03,NA
"W13","M6",2017,"f",1999,NA,1.119147941,8,0.012168947,"J strait",18,"Not pregnant","Not pregnant","alive",1,1,1,0,"yes","no","female reproductive","reproductive female",1.03,NA
"W14","M6",2017,"m",2005,NA,1.177217087,11,0.014602593,"J strait",12,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","sexually mature male","sexually mature male",1.03,NA
"W15","M6",2017,"m",2011,NA,1.149755984,10,0.016103216,"J strait",6,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.03,NA
"W70","M7",2017,"f",2012,NA,1.160565955,8,0.008422183,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.03,NA
"W16","M7",2017,"m",2013,NA,1.114145303,5,0.034277614,"J strait",4,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.03,NA
"W74","M7",2017,"f",2016,NA,1.136884174,11,0.014112243,"J strait",1,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.03,NA
"W17","M7",2017,"f",1989,NA,1.195460122,14,0.012796003,"J strait",28,"Pregnant","Pregnant","alive",3,5,1,2,"yes","no","female reproductive","reproductive female",1.03,NA
"W64","M7",2017,"f",2002,NA,1.158431595,5,0.014785382,"J strait",15,"Nursing 2","Nursing","alive",2,2,0,2,"no","no","female reproductive","reproductive female",1.03,NA
"W18","M7",2017,"f",2006,NA,1.210130232,13,0.018768042,"J strait",11,"Pregnant - early stages","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.03,NA
"W20","M9",2017,"f",1972,NA,1.199303282,14,0.016360019,"J strait",45,"Not pregnant","Not pregnant","alive",4,6,0,3,"no","no","female post reproductive","post reproductive female",1.03,NA
"W21","M9",2017,"f",1985,NA,1.210306617,10,0.014312637,"J strait",32,"Pregnant - early stages","Not pregnant","alive",3,4,2,0,"yes","yes","female reproductive","reproductive female",1.03,NA
"W22","M9",2017,"f",1998,NA,1.16207718,16,0.007164334,"J strait",19,"Nursing 3","Not pregnant","alive",2,2,0,0,"no","no","female reproductive","reproductive female",1.03,NA
"W75","M9",2017,"f",2004,NA,1.157713552,13,0.015138859,"J strait",13,"Not pregnant","Not pregnant","alive",1,1,0,0,"no","no","female reproductive","reproductive female",1.03,NA
"W24","M9",2017,"m",2007,NA,1.111014158,9,0.005641078,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.03,NA
"W25","M9",2017,"u",2009,NA,1.139036057,13,0.020777319,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.03,NA
"W26","M9",2017,"u",2009,NA,1.12757554,24,0.017026472,"J strait",8,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.03,NA
"W76","M9",2017,"u",2013,2021,1.099126911,10,0.014475987,"J strait",4,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown juvenile","juvenile",1.03,"alive"
"W27","M9",2017,"u",2014,NA,1.124060396,6,0.014496899,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.03,NA
"W77","M9",2017,"u",2015,NA,1.143877441,12,0.010113562,"J strait",2,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","unknown calf","calf",1.03,NA
